start_time,japanese_text,chinese_text
0:00:00.00,！？,！？
0:00:00.00,覚悟して見よ,做好觉悟再看吧
0:00:00.00,1週間 長かった,1周好漫长啊
0:00:00.00,サムネからもう絶望,光看缩略图就绝望了
0:00:00.00,前回のあらすじ：タコピー鬼つえぇ！,上回提要：章鱼噼强得像鬼！
0:00:00.10,待ってたっぴ,等着你piko
0:00:00.16,もう抜ける,我要射了
0:00:00.49,まだ暖かい,还是温的
0:00:00.60,サムネの東君かわいいね♡,封面上的东君好可爱啊♡
0:00:00.61,このアニメ毎回尺が違うんだな、まあテレビ考えてないからいいんか,这个动画每集的时长都不一样啊，嘛，反正也没考虑在电视上播，无所谓了
0:00:00.66,チャッピーと結婚する,我要和chappy结婚
0:00:00.79,綺麗な顔してるだろ…,长着一张漂亮的脸蛋吧…
0:00:00.81,一週間後は流石に使えない,一周后就さすが不能用了吧
0:00:00.84,前回まで使えた,上次还能用
0:00:00.91,始まったばかりでこの始末　果てさてこの先どうなりますことやら(無人心,刚开始就这下场 究竟之后会变成什么样呢(无情)
0:00:01.06,やっとつかえる,终于能用了
0:00:01.06,やっと使える,终于能用了
0:00:01.06,あなたは18歳以上ですか？,您已满18岁了吗？
0:00:01.12,癒されに来た,是来被治愈的
0:00:01.35,あぁ…貴重な処女膜がしんじまったよ！くそが,啊啊…珍贵的处女膜就这么没了！可恶
0:00:01.37,開幕ハッピーな光景っピ,开幕就是happy的场景pi
0:00:01.44,氷河期諸君、タコピーの原罪見て傷ついてるのワロチ、いつまで競争、負け組社会をリフレイン・フラッシュバックさせるのかね、私はもう飽きたぞ？,冰河期的各位，看《章鱼噼的原罪》受伤了笑死，要让竞争、败犬社会refrain・flashback到什么时候啊，我已经厌了哦？
0:00:01.58,まだ使える,还能用
0:00:01.58,開幕死体,开幕尸体
0:00:01.71,タコピー鬼つええ！,章鱼噼好强！
0:00:01.72,小学生のしたいから始まるアニメはちょっと初めてかもしれない…,从小学生尸体开始的动画可能还是第一次…
0:00:01.75,ほらね～,你看吧～
0:00:01.78,いきなり死体かよタコッパリらしいな,一上来就是尸体吗，真有你的章鱼佬
0:00:01.78,出JS死体,开幕JS尸体
0:00:01.80,通勤前に見るやで,上班前看的哦
0:00:01.81,マキマさんたすけて,玛奇玛小姐救救我
0:00:01.81,いきなりここからか,突然就从这里开始吗
0:00:01.85,見る地獄,观看地狱
0:00:01.87,開幕から子供の死体がアップで出てくるアニメ,一开场就出现孩子尸体特写的动画
0:00:01.88,まだ使える,还能用
0:00:01.88,まだ使える,还能用
0:00:02.00,やったぜ,干得好
0:00:02.00,見る惹起性鬱コンテンツ,观看诱发性抑郁content
0:00:02.08,まだ使える,还能用
0:00:02.08,こっち見んな,别看这边
0:00:02.10,うわいきなりだよ,哇突然就来了
0:00:02.10,やっと使える,终于能用了
0:00:02.14,やったぜ。,太棒了。
0:00:02.16,もう抜ける,我要射了
0:00:02.23,お昼寝気持ちよさそうだっピね！,午睡看起来很舒服呢piko！
0:00:02.35,前回のタコライブ！,上一回的章鱼Live！
0:00:02.35,突然の死,突然的死
0:00:02.37,まだ使える,还能用
0:00:02.39,まだ使える,还能用
0:00:02.41,出オチ,开幕雷击
0:00:02.58,やっと使える,终于能用了
0:00:02.62,まだ使える,还能用
0:00:02.66,むしろ使いやすい,反而更好用了
0:00:02.71,レベルの高い まだ使えるニキがワラワラ…,高等级的“还能用”哥成群结队地…
0:00:02.72,し、死んでる...,死、死了…
0:00:02.75,タコピーの罪を数えるっピ！,来细数章鱼噼的罪恶吧piko！
0:00:02.75,開幕死体,开幕尸体
0:00:02.75,鬼つえぇ！,强得像鬼！
0:00:02.79,まだ使える,还能用
0:00:02.81,やっと使える,终于能用了
0:00:02.83,きたか,来了吗
0:00:02.96,洗えば使える,洗洗还能用
0:00:03.00,見る地獄,观看地狱
0:00:03.00,週末のはじまりは鬱から,周末的开始从抑郁开始
0:00:03.08,地上波でいきなりこの画面出たら泣くわw,要是在电视台突然出现这个画面会哭的w
0:00:03.08,まだ使える,还能用
0:00:03.12,いやあああ！！！！！,不要啊啊啊！！！！！
0:00:03.16,ひえっ,噫
0:00:03.23,まだ使える,还能用
0:00:03.24,もう埋める,已经埋了
0:00:03.47,pixivで見たし使った,在pixiv上看过也用过
0:00:03.52,まだ使える,还能用
0:00:03.72,タコピー、噓だよな…？,章鱼噼，是骗人的吧…？
0:00:03.91,開始0秒でなんてものを,开始0秒就放这种东西
0:00:03.91,コメ数ヤバ,评论数牙白
0:00:04.00,罪が太すぎるッピ！,罪孽太深重了piko！
0:00:04.00,死体で始まるアニメ,以尸体开始的动画
0:00:04.03,休日の朝はタコピーから始まる,假日的早晨从章鱼噼开始
0:00:04.08,うぽつ,感谢上传
0:00:04.12,開幕鬼つえ,开幕强得像鬼
0:00:04.29,あぁ…今週もタコピーが始まってしまった…,啊啊…这周的TAKOPI也开始了…
0:00:04.34,お前らがわからせとか言うから…,都怪你们说什么“让她明白”…
0:00:04.34,(˙³˙),(˙³˙)
0:00:04.50,まだ使える,还能用
0:00:04.58,もう使った,已经用过了
0:00:04.59,やっとはやばいだろ,“终于”也太牙白了吧
0:00:04.66,開幕まだ使える兄貴たち怖すぎ,开幕“还能用”的大哥们太可怕了
0:00:04.67,悲しいなぁ,真可悲啊
0:00:04.79,タコピー顔がギャグマンガ日和になってますよ,章鱼噼的脸变成《搞笑漫画日和》了哦
0:00:04.84,ギギギ,咯咯咯
0:00:05.11,終わっちゃったね,结束了呢
0:00:05.54,こわっぴ！,好可怕piko！
0:00:05.63,まだ使える,还能用
0:00:05.73,救いはないのですか？,没有救赎吗？
0:00:05.74,まだ使える,还能用
0:00:05.79,まだ使える,还能用
0:00:05.87,コメ欄が異常性癖まみれで怖いっピ,评论区充满了异常性癖好可怕piko
0:00:06.20,まだ使える,还能用
0:00:06.37,ヴィヴァルディ『死期』,维瓦尔第《死期》
0:00:06.42,まだ使える,还能用
0:00:06.46,やっと使える,终于能用了
0:00:06.59,もったいない...,太可惜了...
0:00:06.73,前回のあらすじ　タコピー鬼つええ！　このまま逆らうやつら全員ブッ殺していこうぜ！,上回提要 章鱼噼强得像鬼！ 就这样把所有反抗的家伙都杀光吧！
0:00:06.75,まだ使える,还能用
0:00:06.75,うぽつ,感谢上传
0:00:06.79,おやこのBGMは…,哦呀这个BGM是…
0:00:06.91,まだ使える,还能用
0:00:07.01,たこ焼き,章鱼烧
0:00:07.09,タコピー鬼つええ！,章鱼噼好强！
0:00:07.19,良かったに決まってるじゃないか！,当然是太好了啊！
0:00:07.36,よかったに決まってるじゃないか！,当然是太好了啊！
0:00:07.37,まだ使える　温かいうちに使い潰したい,还能用 温热的时候用到烂
