かわいい,可爱
可爱,可爱
可愛い,可爱
かわちいー,可爱
かっこいい,帅
かしこい,聪明
神,神
うぽつ,感谢上传
うpおつ,感谢上传
閲覧注意,观看注意
おつ,辛苦了
ここすき,喜欢这里
えらい,了不起
すごい,好厉害
すげえ,好强
つよい,强
つっよ,强
無能,无能
無能タコ,无能章鱼
有能,有能
エロすぎ,太色了
エロい,好色
天才,天才
天才かよ,是天才吧
ありがとう,谢谢
涙,泪目
草,草
フラグ,flag
flag,flag
？,？
！？,！？
！？！？,！？！？
？？？,？？？
ｗ,ｗ
ｗｗ,ｗｗ
ｗｗｗ,ｗｗｗ
ｗｗｗｗ,ｗｗｗｗ
ｗｗｗｗｗ,ｗｗｗｗｗ
w,w
ww,ww
www,www
wwww,wwww
wwwww,wwwww
；；,；；
ん,嗯
おお,喔喔
おい,喂
おいおい,喂喂
お,喔
お、おう,喔、喔唔
お？,喔？
ええ,诶诶
えぇ,诶诶
えぇ…,诶诶…
えぇ・・・,诶诶・・・
え,诶
え？,诶？
うわ,唔哇
うわぁ,唔哇啊
うわぁ…,唔哇啊…
うわあ,唔哇啊
うーん,唔嗯
あ,啊
あ、,啊、
ああ,啊啊
あぁ,啊啊
あああ,啊啊啊
ああああ,啊啊啊啊
あ…,啊…
あ・・・,啊・・・
あぁ…,啊啊…
あー,啊ー
あーあ,啊ー啊
あっ,啊っ
あっ…,啊っ…
あっ・・・,啊っ・・・
あれ？,啊咧？
あら,哎呦
あら＾～,哎呦＾～
あのさぁ,那个
あのさぁ…,那个…
は？,啊？
ん？,嗯？
はい,はい
ひぇ,吓
ひえ,吓
ﾋｪｯ,吓
バカ,笨蛋
へけっ,嘿k(哈姆太郎)
へけっ！,嘿k！(哈姆太郎)
なんて？,为啥？
ほんとぉ？,真的？
そうだよ,是的呦
そうだな,是的呢
こわい,可怕
怖い,可怕
興奮する,兴奋
あの！？,那个！？
く、くる,来、来了
きたー,啊出现了
きたー！,啊出现了！
うわでた,啊出现了
うわでた！,啊出现了！
うーんこの,唔这个(屎)
でたわね,出现了呢
やったぜ,干得好
やるやん,干得漂亮
やめとけ,住手吧
やめろ,住手
やめて,住手啊
やめてね,住手吧
