就是这张脸,この顔です
山本租赁,山本賃貸
做好觉悟再看吧,覚悟して見よ
第三话 完,第三話　完
开局就是climax,最初からクライマックス
肮脏的哈姆太郎,汚いハム太郎
1周好漫长啊,1週間 長かった
光看缩略图就绝望了,サムネからもう絶望
上回提要：章鱼噼强得像鬼！,前回のあらすじ：タコピー鬼つえぇ！
明明不想看了却又来看了・・・,もう見たくないのにまた見に来てしまう・・・
等着你piko☆,待ってたピッ☆
观看此话者，请抛弃一切希望,この話を見る者は一切の希望を捨てよ
不要从章鱼噼身边逃走,タコピーから逃げるな
啊哈～☆,あは～☆
哇吓我一跳,うわっびっくりした
「缩略图，还能用piko！」,「サムネ、まだ使えるッピ！」
开幕就是尸体草,開幕早々死体は草
一开始就是这个吗,開幕からこれかよ
章鱼噼太强了piko！,タコピー強すぎるッピ！
等着你piko,待ってたっぴ
昨天忘了看了,昨日観んの忘れてた
伦理观软绵绵动画,倫理観ゆるふわアニメ
喂 别播了,おい映すな
干掉了吗…？！,やったか…？！
还是温的,まだ暖かい
想在这部动画里被刷很多niconico的笑脸啊,このアニメでいっぱいニコられたいよ
没想到久濑大哥还有这样的过去…,久瀬の兄貴にこんな過去があったなんて…
突然就是尸体,いきなり死体
你！在看什么啊混蛋💢,なに！見てんだてめえ💢
长着一张漂亮的脸蛋吧…,綺麗な顔してるだろ…
一周后就さすが不能用了吧,一週間後は流石に使えない
上次还能用,前回まで使えた
刚开始就这下场 究竟之后会变成什么样呢(无情),始まったばかりでこの始末　果てさてこの先どうなりますことやら(無人心
↓才不是“你看吧”,↓ほらねじゃないが
说实话只有活该的感想,正直ざまあみろという感想しかない
终于能用了,やっとつかえる
您已满18岁了吗？,あなたは18歳以上ですか？
诶，缩略图难道是,え、サムネまさか
在niconico就能看piko，和大家一起就不可怕了piko哟,ニコニコなら観れるっぴ、皆と一緒なら怖くないっぴよ
给我变回去,元通りにしろ
茉莉奈酱还暖呼呼的piko!,まりなちゃんまだヌクヌクだっピ!
不能再玩了,もう遊べない
正是用的时候,使いどき
播放数的增长异常得不输给DAN DA DAN,ダンダダンに負けないくらい再生数の伸びが異常
开幕瞳孔放大,開幕瞳孔ガン開き
好消息：唯一和平的一集,朗報：唯一の平和回
哈姆太郎也是有可能变成这样的哦,ハム太郎だってこうなった可能性はあるぞ
又能用了,また使える
开局十成,初手１０割
冰河期的各位，看《章鱼噼的原罪》受伤了笑死，要让竞争、败犬社会refrain・flashback到什么时候啊，我已经厌了哦？,氷河期諸君、タコピーの原罪見て傷ついてるのワロチ、いつまで競争、負け組社会をリフレイン・フラッシュバックさせるのかね、私はもう飽きたぞ？
评论数不妙啊…？,コメ数ヤバない…？
开幕遗体,開幕遺体
和丑女那边的缩略图撞了piko,ブスのほうとサムネが被ってるッピ
开幕尸体,開幕死体
开幕就是这个,開幕からこれ
大家的眼神都死了～♪,みんな目が死んでる～♪
开幕还能用,開幕まだ使える
徒刑26分钟,懲役26分
开幕就从这里开始吗・・・,開幕からここからかよ・・・
好可爱・・・,かわいい・・・
你看吧～,ほらね～
欢迎来到地狱,地獄へようこそ
开始了piko,始まっちまったっぴ
开幕JS尸体,出JS死体
别开幕地狱了,開幕地獄やめろ
上班前看的哦,通勤前に見るやで
突然就从这里开始吗,いきなりここからか
哇来了,うわ来た
可能推荐戴耳机,イヤホン推奨かも
缩略图大部分都是绝望的脸啊,サムネのほとんどが絶望的な顔だな
一开场就出现孩子尸体特写的动画,開幕から子供の死体がアップで出てくるアニメ
每次都更新地狱的神动画,毎回地獄を更新する神アニメ
死、死了piko…,４、４んでるッピ…
还是来了吗…,きてしまったか…
等着你呢！！,まってたぜ！！
观看诱发性抑郁content,見る惹起性鬱コンテンツ
嗯～，tasty！,ん〜、テイスティー！
吓我一跳,びっくりした
好可爱♥️🥰,かわいい♥️🥰
开幕十成,開幕10割
开幕还能用哥的玩具,開幕まだ使えるニキの玩具
别看这边,こっち見んな
这可怎么办啊,どうすんのこれ
哇突然就来了,うわいきなりだよ
我要射了,もう抜ける
最可爱的孩子死了,一番かわいい子が死んじゃった
午睡看起来很舒服呢piko！,お昼寝気持ちよさそうだっピね！
18小时2.3万评论,18時間で2.3万コメ
死、死了…！,し、死んでる…！
上一回的章鱼Live！,前回のタコライブ！
突然的死,突然の死
呜、哇啊！是幼女的尸体啊～！,う、うわあ！幼女の死体だあ～！
死透了！,死んでるぜ！
鲜度足够,鮮度は十分
开头就是这画面,冒頭からこの絵面である
应该在niconico看的动画,ニコニコで見るべきアニメ
我是来治愈心灵的哦,心を癒しに来ましたよ
…是反转术式吗,…反転術式か
咋啦,どしたぁん
第1个场景就是这个吗,1シーン目からこれかよ
从这里开始的绝望,ここから始まるの絶望
Pokopi,ポコピー
高等级的“还能用”哥成群结队地…,レベルの高い まだ使えるニキがワラワラ…
🐙「死了？」,🐙「死んだ？」
来细数章鱼噼的罪恶吧piko！,タコピーの罪を数えるっピ！
强得像鬼！,鬼つえぇ！
来了吗,きたか
我来看下一个地狱了・・・,次の地獄を見に来ました・・・
已经不能用了piko,もう使えないっピ
周末的开始从抑郁开始,週末のはじまりは鬱から
要是在电视台突然出现这个画面会哭的w,地上波でいきなりこの画面出たら泣くわw
不要啊啊啊！！！！！,いやあああ！！！！！
和好（大惨事）,仲直り（大惨事）
_(｡ﾟ ཀ　」∠)_　　　　　꧁( •◎•๑ )꧂咦？,_(｡ﾟ ཀ　」∠)_　　　　　꧁( •◎•๑ )꧂あれ？
Sukatto Japan,スカッとジャパン
开幕这个草,開幕コレは草
来看了,見に来た
太H了吓到了,Hすぎてビビった
别看这边,こっちみんな
北海道的日常系,北海道の日常系
真的是不能用了,流石に使えない
在pixiv上看过也用过,pixivで見たし使った
想和你们一起看,お前等と見たくて
章鱼噼，是骗人的吧…？,タコピー、噓だよな…？
reaction视频全都把报复杀人当成正当的，成了问题,リアクション動画が軒並み報復殺人を是として問題に
还能用吧,まだ使えるだろ
开始0秒就放这种东西,開始0秒でなんてものを
评论数牙白,コメ数ヤバ
罪孽太深重了piko！,罪が太すぎるッピ！
以尸体开始的动画,死体で始まるアニメ
假日的早晨从章鱼噼开始,休日の朝はタコピーから始まる
人是会死的哦,人は死ぬぞ
那么接下来要怎么办w,さてここからどうするｗ
太在意后续了,続きが気になりすぎてた
开幕强得像鬼,開幕鬼つえ
upo,うぽ
筑地银章鱼,築地銀だこ
aa,aa
开局就难顶,初手キツい
是夏美子不好,シャミ子が悪い
你们不在的话我害怕得不敢看，所以请一直留下有趣的评论,お前らがいないと怖くて見れないから常に面白いコメント残してくれ
你们这些家伙…,おまえら…
“终于”也太牙白了吧,やっとはやばいだろ
？？？「不是死了吗—」,？？？「死んだんじゃないのー」
开幕“还能用”的大哥们太可怕了,開幕まだ使える兄貴たち怖すぎ
now,なう
章鱼噼的脸变成《搞笑漫画日和》了哦,タコピー顔がギャグマンガ日和になってますよ
咯咯咯,ギギギ
轻松简易的阿鼻叫唤动画,お手軽阿鼻叫喚アニメ
不在白天看的话心情会变得沉重…,明るいうちに視聴しないと気分が沈む…
结束了呢,終わっちゃったね
nico直播后的二次会,ニコ生からの二次会
差不多该臭了,そろそろくさそう
章鱼公，full swing,タコ公、フルスイング
用这部作品来治愈这周的疲劳吧piko！,今週の疲れをこの作品で癒すといいっピ！
还能行,まだ行ける
好可怕piko！,こわっぴ！
章鱼烧大将,たこ焼き大将
没有救赎吗？,救いはないのですか？
还很暖和吧,まだあったかいだろうなぁ
开幕尸体没有心理准备…,開幕死体は心の準備が…
开幕全是“还能用”哥草,開幕まだ使えるニキだらけで草
评论区充满了异常性癖好可怕piko,コメ欄が異常性癖まみれで怖いっピ
在游戏厅和瑠璃补充了残机，第3话也能撑住,ゲーセンと瑠璃で残機補充してきた3話も耐える
章鱼噼强得像鬼—！！,タコピー鬼つえー！！
维瓦尔第《死期》,ヴィヴァルディ『死期』
是夏天了差不多要招虫子了,夏だしそろそろ虫寄って来そう
还能用piko,まだ使えるっぴ
太可惜了...,もったいない...
茉莉奈酱不是死了吗,まりなちゃん死んでるやん
章鱼章鱼～,たこたこ～
上回提要 章鱼噼强得像鬼！ 就这样把所有反抗的家伙都杀光吧！,前回のあらすじ　タコピー鬼つええ！　このまま逆らうやつら全員ブッ殺していこうぜ！
哦呀这个BGM是…,おやこのBGMは…
章鱼烧,たこ焼き
穗饰回,タッセル回
曾经是的东西,だったもの
当然是太好了啊！,良かったに決まってるじゃないか！
打倒最终boss就是happy end了piko！,ラスボス倒してハッピーエンドだッピ！
当然是太好了啊！,よかったに決まってるじゃないか！
这是事故吧,これ事故だよな
等不及后续买了原作,続き待ちきれなくて原作買った
“还能用”是什么时候变成那些伪necrophilia的slang的,まだ使えるはいつから似非ネクロフィリアどものスラングと化したのか
游戏厅少女→章鱼噼 来净化被玷污的心灵了,ゲーセン少女→タコピーで穢れた心を浄化しに来ますた
电次也每周都看哦！,デンジも毎週欠かさず見てるってよ！
突然就来吗,いきなりかよ
你看吧 就是这副德行!,ほらね　ごらんの有様だよ!
人类很脆弱呢piko—,人間は脆いっぴねー
开局地狱绘图,初手地獄絵図
结束了piko・・・？难道・・・你就这样结束了piko？,終わりっピ・・・？まさか・・・お前これで終わりっピ？
能用,つかえる
还能,まだ
错过第2话了piko・・・,第2話見逃したっピ・・・
嘛没关系啦,まあいいじゃん
章鱼噼和银章鱼合作吧,タコピー銀だことコラボして
开幕雷击感,出落ち感
章鱼噼好强！！,タコピーつええ！！
嘿嘿，还热乎着呢,へへ、まだあったけぇよ
对被害者来说真的会变成感谢的心情啊・・・,被害者からしたら本当にありがとうって気持ちになっちゃうんだよなぁ・・・
原罪EX stage突入,原罪EXステージ突入
这个算半个犯罪了吧,これって半分犯罪だよな
不管好坏都无法倒带了啊,良いも悪いも巻き戻せないからなぁ
好痛苦啊,もうくるしい
upo乙desuwa,うぽつですわ
穷凶极恶的性骚扰评论太多了吓到了,極悪セクハラコメント多すぎて引いた
谢谢你章鱼噼！周末也能在忧郁中度过了！,ありがとうタコピー！土日も憂鬱で過ごせる！
死掉了,タヒんだ
←100%是犯罪哦？,←100%犯罪だよ？
章鱼噼在感觉责任了,タコピーが責任感じてら
不能用啊！,使えねぇよ！
因为是alien干的所以safe！,エイリアンがやったことだからセーフ！
死了,死んだ
？？？「好！好耶！死掉了—！啊哈哈哈！」,？？？「よし！よっし！ﾀﾋんだー！あはははッ！」
一边哭一边笑也太痛苦了,泣きながらも笑ってるの辛すぎ
这个也能用,こっちも使える
请给我那眼泪（Zuberry）,その涙ください（ズベリー）
谢谢你 章鱼噼、、、！,ありがとう　タコピィッ、、、！
守护了这个笑容就糟了,この笑顔守ったらまずいんだよ
从开幕就,開幕から
重读了原作还是原作更致郁,原作読み返したけどやっぱ原作のほうがくるな
章鱼噼变态！,タコピーの変態！
wow,わーお
全员都冲向地狱系的动画,全員が全員地獄に突き進む系アニメ
是天使啊...,天使だ...
因为她很高兴所以好！！,喜んでるのでヨシ！！
干得好啊章鱼,やりやがったなタコ
魔性之女啊,魔性の女ぁ
到这里才露出最棒的笑容啊…,ここにきて一番の笑顔というのがな…
首先是谢谢,まずはありがとう
又开始了…［・_・］,はじまた…［・_・］
这里暴食爱好者望月同学,ここどか食い大好きもちづきさん
混合了各种感情的脸,いろんな感情がまざりあった顔
想守护的近卫脸,守りたい近衛顔
可爱（翻白眼）,かわいい（白目）
干得好💯,よくやった💯
章鱼噼的攻击力9999[,タコピーの攻撃力9999[
总之是被解放了没错,とりあえず解放はされたけども
不也挺好吗,よかったじゃん
杀了她真是太好了、、、！,殺してくれて、、、！
能好好道谢真了不起！,ちゃんとお礼が言えてエラい！
你看吧变回原样了哦♪,ほらね元通りだよ♪
第一次派上用场的害兽,初めて役に立った害獣
恶劣的问题发言,えげつない問題発言
很懂上田丽奈的理由了,上田麗奈の理由がよくわかった
Zuberry都犹豫要不要回收的喜悦的泪水,ズベリーが回収をためらう嬉し涙
总之也只能这么做了吧…,まあとりあえずはこうするしかないというのが…
这里不该说谢谢吧？,そこはありがとうじゃないよね？
一生想说一次的台词,一度は言ってみたいセリフ
为了千夏前辈的话,千夏先輩のためなら
好棒的笑容啊・・・,いい笑顔だぁ・・・
静香酱笑了piko！太好了piko！,しずかちゃんが笑顔になったッピ！やったッピ！
English: Thank you takopi... so much, for killing!,English: Thank you takopi... so much, for killing!
这孩子精神也病得不轻呢,この子もだいぶ精神病んでますね
这不是说出来了吗,言えたじゃねーか
能道谢真了不起！,お礼が言えてえらい！
夏美子哦哦哦哦哦哦！！！！,シャミ子ォォォォォォ！！！！
兴高采烈,ウッキウキ
已经结束了哦,もう終わりだよ
就是那个high到不行的感觉,最高にハイってやつだ
章鱼噼camera,タコピーカメラ
好厉害的作品啊,すげえ作品だな
从这里开始静香酱的本性要暴露了,ここからしずかちゃんの本性が出てきます
这时观众还没有注意到…真正牙白的是哪一边…,このとき視聴者は気づかなかった・・・本当にやばかったのはどちらだったのかを・・・
才不是谢谢啊人渣,ありがとうじゃねえよクズ
已经结束了哦这个故事,もう終わりだよこの物語
（该说的话）不对吧！,（言う事が）違うだろぉ！
本应想守护的笑容,守りたかったはずの笑顔
不是谢谢啊,ありがとうじゃあないんだわ
全美最想被说的话NO1：arigato-koroshitekurete!!!,全米で言われたい言葉NO1：arigato-koroshitekurete!!!
太好了呢😭,よかったね😭
对拯救了自己的人，不管用什么手段都会道谢 好孩子呢！,自分を救ってくれた相手にはどんな手段かは関係なくお礼を言う　いい子だね！
那就行了吧,ほなええか
这里的声线让我想起Re:Zero的艾米莉亚,ここの声でリゼロのエミリアが思い浮かぶ
混杂了各种思绪的表情,色んな思いが混ざった表情
这里是石神村的幻,ここ石神村のゲン
超级可爱,くっそかわいい
喜欢上田丽奈,上田麗奈好き
你就是想看这个笑容的吧,こ の 笑 顔 を 見たかったんだろ
查了下章鱼噼圣地原来是北海道啊…,タコピー聖地調べたら北海道なんやね…
该用什么感情看才好呢…,どんな感情でみればいいのか…
从这里开始静香酱变得不正常了,ここからしずかちゃんがおかしくなってくる
Re:Zero是Re:Zero但也是Re:ZeroS的紫苑,リゼロはリゼロでもリゼロスのシオンや
开幕“还能用”笑喷了,開幕まだ使えるで吹いた
这可是你守护的笑容啊高兴吧,お前が守った笑顔だぞ喜べよ
死档存档真的太过分了,詰みセーブほんまひどい
章鱼噼强得像鬼!,タコピー鬼つええ!
反义词：谢谢你出生在这个世界,対義語：生まれてきてくれてありがとう
阿尔敏也笑了,アルミンもにっこり
在这种疯狂的环境里每天被欺负就会是这个反应吧,こんな狂った環境に居て毎日嫌がらせされたらこの反応なるやろ
是做了那种被杀了还会被感谢的事的人不好,殺されて感謝されるようなことをしてきた方が悪い
最棒的笑容piko,最高の笑顔っピ
我懂～,わかる〜
奇迹和魔法都有但是没有救赎,奇跡も魔法もあるけど救いはない
喜欢这里嘴角上扬肩膀颤抖着笑的动作 感觉是发自内心的开心,ここで口角を上げて肩を震わせて笑う動きするの好き心の底から嬉しいんだなって
章鱼噼强得像鬼！！！,タコピー鬼ツええ！！！
静香酱笑了呢,しずかちゃん笑顔になったね
嘛会变成这样呢,まぁそうなるな
太好了呢！,よかったね！
不客气,どういたしまして
表示感谢,感謝しておりまする
说“谢谢你杀了他！”，感觉真是最棒的坏女人,殺してくれてありがとう！って言うの、最高に性悪女ってカンジ
静香咚,しずかなるどん
笑了!《章鱼噼的原罪》，完!!,笑った!タコピーの原罪、完!!
被杀了还感谢的小学生也太壮烈了,殺して感謝する小学生とか壮絶過ぎる
不开玩笑地说是做了那种“谢谢你杀了他”的事情所以没办法,冗談抜きで殺してくれてありがとうな事やってきたからしょうが無い
好过分的台词啊,えぐい台詞だ
各种意义上都坏掉了,あらゆる意味でぶっ壊れてる
被欺凌的一方死都不会忘所以理所当然啊,イジメられた側は死んでも忘れんからそらそうよ
进入新route了呢,新ルートに入ったな
嘛在电视台播不了w,まあ地上波じゃ放送できないw
说实话要是我被欺凌了也会这么想,正直虐められてたら俺もこう思っちゃうな
有困难的话什么都可以说哦,困った事があったらなんでも言ってね
章鱼渣活跃的瞬间,タコカスが活躍した瞬間
不管理由如何被欺凌了也会变得心肠坏啊w,理由はどうあれイジメられれば性悪にもなるわｗ
太在意第3话了刘海都秃了,3話が気になりすぎて前髪禿げてきた
好舒服piko,きもちいいっぴ
该怎么办啊,どうすりゃいいんや
（　・　ε　・　）,（　・　ε　・　）
反而想用,むしろ使いたい
明明已经束手无策了，却发生了像谎言一样的奇迹…,どうしようもならなかったのに、嘘みたいな奇跡が起きちゃった…
可喜可贺可喜可贺,めでたしめでたし
发自内心的感谢,心からのありがとう
章鱼噼强得像鬼！把所有反抗的家伙都杀光吧！,タコピー鬼つええ！逆らうやつ全員ぶっころそうぜ！
这是什么台词啊,なんてセリフだ
开始了呢,はじまったな
希望这里是谷底之后只会上升了,ここがどん底であとは上がるだけであってくれ
谢谢你 杀得好,ありがとう　いい殺しです
和不愿意看的小学3年级的女儿一起在看,嫌がる小３の娘と一緒に観てます
这样对吗—？,正しいのかーい？
战争的胜利就是最高的救赎,戦争の勝利とは最高の救済
开头就感谢是名作,冒頭で感謝は名作
喔,うお
微笑,にっこり
Piko……,ピッッ……
感谢,感謝
杀了（噔噔！）,殺す（デデン！）
开幕太阴间了笑了,開幕エグくて笑う
今天heartful的动画也要开始了哦！,今日もハートフルなアニメが始まるよ！
牙白....,やっべ....
在网上经常听到,ネット上でよく聞く
章鱼杀手…,タコろしや・・・
Mukkoro,ムッコロ
果然怎么想都是哈姆太郎绝对不会说的台词,やっぱどう考えてもハム太郎は絶対言わないセリフ
是可乐助呀,コロ助ナリ
理解五段活用的章鱼噼,五段活用を理解しているタコピー
静香酱越来越牙白了啊,どんどんしずかちゃんの方がやべえってなってくなあ
这人搞什么啊...,何なのこの人...
虽说杀人不好 但一直被施暴的话，常识会bug的啊,殺人は良くないとはいえ　暴行され続けると、常識がバグるからな
外国人也无语了,外国人も絶句してた
太有趣了笑 好喜欢这部作品,おもろすぎる笑この作品大好き
接下来会是干掉剩下的霸凌者和人渣大人的痛快revenge happy story吗？,ここから残りのいじめっ子やクズ大人たちをやっつける痛快リベンジハッピーストーリーくる？
是泰坦3里出现的反派的名字哦,ダイターン３に出てきた悪役の名だよ
好像是叫科洛斯哦～,コロスっていうらしいナリ〜
杀了你(噔噔！),お前を殺す(デデン！)
Bosogu,ボソグ
让汪汪说什么呢,うーたんになんてこと言わせてんだ
Mukkorosu,ムッコロス
要是我的话会在更早的阶段自己动手,自分ならもっと早い段階で自分でやってた
噔噔！,デデン！
既然如此，那终将逝去的生命，就应该叫做魔法少女吧,だったら、やがて失ういのちのことは、魔法少女と呼ぶべきだよね
有给小3女儿看深夜动画的毒父母呢…,深夜アニメを小3の娘に見せる毒親がいますね…
科洛斯,コロス
Kill,Kill
科洛斯是不会杀人的,コロスは殺さない
也叫，处决,処す、とも言う
别说得这么流利,流暢に喋るな
静香酱的春天来了piko！,しずかちゃんに春が来たっピ！
不对哦，是救济哦,違うよ、救済だよ
是外星人干的所以无罪！,宇宙人がやったので無実です！
吸溜～～～～～～～！！！！！杀了你哦～～～～～～～！！！！！,啜る〜〜〜〜〜〜〜〜！！！！！〇ろすぞ〜〜〜〜〜〜〜〜！！！！！
不分国籍都会无语啊这种,国籍問わず絶句するよこんなの
可乐助,コロ助
维瓦尔第「无法理解」,ヴィヴァルディ「解せぬ」
宰了（在那里倒下的孩子）,ぶちコロがす（そこに倒れてる子）
杀了你,お前を殺す
不是“守护你”的意思吗（高达W脑）,お前を守るという意味じゃなかったのか（ガンダムW脳）
也有友爱和颇瓦呢,友愛とかポアとかもあったな
1/1/1 必杀,1/1/1 必殺
←诶？さすが是段子吧？不要虐待哦？,←え？さすがにネタだよね？虐待はやめようね？
噔噔！,デデッ！
太happy的BGM,ハッピーすぎるBGM
因为没有恶意所以性质比丘比还恶劣,悪意がない分キュゥべえより質が悪いぜ
BGM下单失误,BGM発注ミス
在意后续买了单行本…,続きが気になって単行本買っちゃった…
如果是『宰了』的话就可以用！,『ブッ殺した』なら使ってもいいッ！
是春天嘛,春じゃん
章、章鱼噼…,た、たこぴー…
维瓦尔第也没想到会被这么用吧,ヴィヴァルディもこんな使い方されるとは思ってなかっただろうな
维瓦尔第「诶！？ 连续2集用我的曲子！？」,ヴィヴァルディ「え！？ 2話連続で私の曲！？」
嘛每天都有人被杀,まあ毎日誰かが殺されている
章鱼噼＞觉醒前贝西,タコピー＞覚醒前ペッシ
维瓦尔第「不应该是这样的」,ヴィヴァルディ「こんなはずじゃなかった」
好像是叫「杀」→♪春 的流程忍不住笑了,「殺す」というらしい→♪春 の流れで草を禁じ得ない
不会读空气的BGM,空気読めないBGM
哈姆太郎桑…,ﾊﾑﾀﾛｻｧﾝ…
是小学打扫时间放的曲子啊…打扫…,小学校の掃除の時間に流れた曲や…掃除…
对维瓦尔第的严重风评被害,ビバルディに対する深刻な風評被害
《章鱼噼的原罪》是ano童年时候的故事吗？,タコピーの原罪ってanoの子供時代の話なの？
静香酱精神已经坏掉了吧,しずかちゃんはもう精神壊れてるやろし
约翰·马特松「无与伦比地表现了充满绝望、或者说悲痛欲死的悲伤。最适合于完全束手无策、毫无希望的恋爱状况」,ヨハン・マッテゾン「絶望に満ちた、あるいは全く死ぬほどの悲しみを比類なくよく表現する。全く途方にくれ、希望のない恋愛上の事態に最も適している」
又来啊,またかよ
轻松,楽
章鱼噼好可爱，想带回家,タコピーかわいい、持って帰りたい
维瓦尔第「深表遗憾。严正抗议」,ヴィヴァルディ「誠に遺憾。厳重に抗議する」
静香真是比茉莉奈还不如的垃圾人渣吧,しずかはまりな以下のゴミクズだろホント
那里有爱吗？,そこに愛はあるんか？
维瓦尔第「死期」,ヴィヴァルディ「死期」
维瓦尔第「诶....(困惑)」,ヴィヴァルディ「えぇ....(困惑)」
自己杀了人还像是在客观地看待事物呢,自分で殺しておいて客観的にものごとを眺めているようですね
维瓦尔第预想到了会被用在这部作品里！？,ヴィヴァルディはこの作品で使われることを想定していた！？
维瓦尔第「说实话，被用在会破坏乐曲及相关作品形象、让人怀疑品性的地方，非常不愉快」,ヴィヴァルディ「楽曲や関連した作品のイメージを壊すような品性を疑う使い方をされていたことが正直非常に不愉快でした」
维瓦尔第「诶…(吓退)」,ヴィヴァルディ「えぇ…(ドン引き)」
维瓦尔第「该开示了」,ヴィヴァルディ「開示だな」
维瓦尔第「这也太离谱了吧…」,ヴィヴァルディ「そりゃ無ぇでしょ…」
哭泣的章鱼噼,泣くタコピー
霸凌很过分啊,いじめ酷かったからなぁ
喂BGM,おいBGM
维瓦尔第「哈？」,ヴィヴァルディ「は？」
作曲家看了会生气吧,作曲者が見たら怒りそう
因为维瓦尔第长出了管弦乐,ビバルディでオーケストラ生えた
维瓦尔第「所以说别在这种状况下放啊💢」,ヴィヴァルディ「だからこの状況で流すな💢」
在这里选这个BGM的sense从好的意义上来说很疯狂,ここでこのBGM選んだセンス良い意味で狂ってる
唯一让维瓦尔第生气的作品,唯一ヴィヴァルディが怒った作品
heke(感动的泪水),ヘケッ(感涙)
维瓦尔第泪目,ヴィバルディ涙目
想给维瓦尔第看的动画No. 1,ヴィヴァルディ見せてあげたいアニメNo. 1
脑子里春天来了！,頭に春が来た！
这个啊是小学打扫时放的曲子。啊啊，是打扫结束了啊,これさ小学校で掃除のとき流れてた曲なんだ。ああ、掃除が終わったんやなって
打和杀都不知道啊,叩くも殺すも知らないんだな
明白了happy星不存在「杀」这个行为,ハッピー星に「殺す」という行為が存在しないことが分かる
别给死人下单啊,死人に発注するな
也叫杀人,殺人とも言う
是春天啊…（远目）,春だな…（遠い目）
章鱼噼最强！,タコピー最強！
Bikkuriman 2000,ビックリマン2000
维瓦尔第「日本人疯了啊。活在未来啊…」,ヴィヴァルディ「日本人イっちゃってるよ。未来に生きてんな…」
孩子果然还是要笑啊,やっぱり子どもは笑ってなきゃね
宰了他们！！,ぶっ殺そう！！
BGM好happy呢,BGMハッピーね
