待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
職人すげえええええ,职人好牛逼啊啊啊啊啊
深夜に配信されて1時間で10000再生とか覇権にもほどがある…！,深夜直播1小时就有10000播放，这也太霸权了吧…！
スルメアニメ,鱿鱼干动画
おいお前ら！バスタオル用意しろ！,喂你们！准备好浴巾！
安易なタイムリープものへのアンチテーゼ作品,对那些肤浅的时间跳跃（time leap）作品的反正统作品
うぽつ　888888888,Up乙 888888888
日本歴代最高のアニメ爆誕,日本历代最棒的动画爆诞
８８８８８８８８８８８８８８８８８８８８８８８８８８８,８８８８８８８８８８８８８８８８８８８８８８８８８８８
遂に最終話か,终于最终话了吗
最終話マ？,最终话吗？
うぽる,Up了
ファイナルタコピー,Final Takopi
クソ重い,太沉重了
固まった,卡住了
職人すげえ,职人好牛
最終回ktkr,最终回ktkr
2025年の俺たちへ,致2025年的我们
最終か,是最终回吗
ハートフルアニメ,暖心（Heartful）动画
飯野慎也監督、メイドインアビスの助監督でワロタ、納得,饭野慎也监督，是来自深渊的助监督笑死，原来如此
オラワクワクすっぞ!,我开始兴奋起来了!
また職人が湧いてる…ありがとう……！,又有职人涌现了…谢谢……！
神アニメ,神动画
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N　　　　　██████▏　　​\N\N\N　　　　　◥████◤\N　　　　◥▇█◤◥█▇◤\N \N,██████▏　　​   　　　　　◥████◤ 　　　　◥▇█◤◥█▇◤
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N　　　　　◢████◣\N\N　　　　▕██████▍　　​\N　　　　　██████▏\N\N\N \N,◢████◣  　　　　▕██████▍　　​ 　　　　　██████▏
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N\N　　　　　　▂▅▅▃　　　　​\N\N\N \N\N\N \N \N,▂▅▅▃　　　　​
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N\N　　　　　　　▀▀　　　　　​\N \N,▀▀　　　　　​
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N　　████████████\N\N\N \N\N\N \N\N\N \N \N,████████████
\N\N\N \N\N\N \N\N\N \N\N\N \N\N　　◢██████████◣\N\N　　◥██████████◤\N　　　　　　　◥◤\N\N\N \N\N\N \N\N \N,◢██████████◣  　　◥██████████◤ 　　　　　　　◥◤
\N\N\N \N\N\N \N\N\N \N\N\N \N\N　　╱￣￣￣￣￣￣￣￣￣￣╲\N\N\N \N\N\N \N\N\N \N　　　　╲▔〳〳╲╲▔╱\N　　　　　▔▔　　▔▔\N,╱￣￣￣￣￣￣￣￣￣￣╲             　　　　╲▔〳〳╲╲▔╱ 　　　　　▔▔　　▔▔
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N　　╲　　　　　　　　　　╱\N\N\N \N\N\N　　　　　▏　　　　　▏\N　　　　▁╲　　　　╱▁\N\N \N,╲　　　　　　　　　　╱       　　　　　▏　　　　　▏ 　　　　▁╲　　　　╱▁
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N \N\N　　　￣￣￣￣╲╱￣￣￣￣　​\N\N\N　　　　　▏　 ．　． 　▏\N　　　　▕　　　３　　ｌ\N\N\N \N \N,￣￣￣￣╲╱￣￣￣￣　​   　　　　　▏　 ．　． 　▏ 　　　　▕　　　３　　ｌ
\N\N\N \N\N\N \N\N\N \N\N\N \N\N\N　　▏わ、わかんないっピ…▕\N\N\N　　　　　　╭──﹨\N　　　　　╱　　　　╲　　　​\N\N\N \N\N\N \N,▏わ、わかんないっピ…▕   　　　　　　╭──﹨ 　　　　　╱　　　　╲　　　​
最高でした,太棒了
遂に来ましたか,终于来了吗
タコピーの結末を見届けに来た,来看小章鱼的结局了
ラストなのか,是最后一集了吗
涙で脱水になりそう,要哭到脱水了
職人GJ,职人GJ
タイトルなし？,没有标题？
さてさて続きは・・,那么那么接下来是・・
重い,好沉重
おっと、残念だったな、ここでまたヘリタコぷーちゃん兄貴だ😎,哦豁，真遗憾啊，我又来了，直升章鱼普酱大哥😎
泣いても大丈夫なようにタッセル用意してきた,为了能放心哭准备好了流苏（tassel）
深夜に配信されて1時間で10000再生とか覇権にもほどがある,深夜直播1小时就有10000播放，这也太霸权了
目指せ10万コメント!!!!!　支援してくれるやつはニコる押してくれ,目标10万评论!!!!!
コメント欄にタコピーいる！すごい！魔法みたい！,评论区里有小章鱼！好厉害！像魔法一样！
みんな観るの早すぎん?,大家看得也太快了吧？
ガガピー！,嘎嘎P！
ラスト,Last
※まじで初見コメ消し推奨,※真的推荐初见的人关掉评论
良いサムネだ,这封面不错
さあ、待ちに待ったハッピーエンドの時間だ,来吧，等了又等的Happy End时间到了
遂に最終回ですか…,终于最终回了吗…
ぐらんぶる見てタコピー見ると心が整うこれがサウナってやつか,看了碧蓝之海再看小章鱼，内心就平静了，这就是所谓的桑拿吗
何気なくYouTubeつけたらネタバレの嵐,无意中打开YouTube结果全是剧透
衝撃の小学生ドラマ、最終回,冲击的小学生drama，最终回
仲直りリボンも用意しろ,和好缎带也准备好
きたきた,来了来了
ありがとうありがとう・・・・製作の人たちありがとう,谢谢谢谢・・・・制作人员们谢谢
タッセルアニメ,流苏（tassel）动画
ゲーセン見てからのタコピー,看完游戏厅再来看小章鱼
サブタイ無しか,没副标题吗
ファイナルタコピーーー,Final Takopiiii
地獄もついに終焉か・・・,地狱也终于要结束了吗・・・
とんでもねぇ、待ってたんだ。,不得了啊，我可等死你了。
職人仕事早すぎ,职人动作太快了
職人の贖罪,职人的赎罪
ついに最終か...早いなぁ,终于最终回了吗...真快啊
